id_lake,lon,lat,dist_along_track_m,manual,predicted_depth,surrf_2024,surrf_corr,surrf_corr_conf,RTE_Landsat8_red_pan,RTE_Sentinel2_red,watta,DEM_zeroed,Green_z_lit,Red_z_lit,STD_high,STD_low,Z_green,Z_green_max_stdev_mean,Z_green_min_stdev_mean,Z_red,Z_red_max_stdev_mean,Z_red_min_stdev_mean
lake_greenland_melling_1,-49.137602171503055,67.08226015848439,1071.5,0.6533383884444163,1.4027852394471274,,0.5514580127123315,0.607999269362158,,,,0.229,3.321692069,1.777386937,0.784092190409599,0.5225845866114069,2.420132619,3.407676206,1.412055865,1.29359807,1.625676957,0.98818015
lake_greenland_melling_1,-49.13758909746821,67.08230470174286,1066.5,0.7801119484828088,1.3444957292042055,,0.6306703452080592,0.5545384896793839,,,,0.2915,3.321692069,1.777386937,0.9159167030057032,0.6443071929850712,2.420132619,3.407676206,1.412055865,1.29359807,1.625676957,0.98818015
lake_greenland_melling_1,-49.13757604701715,67.0823492459966,1061.5,0.9261815077643004,1.38549096091392,,0.7101299255793982,0.4885325295634665,,,,0.4555625,3.92273834,1.95709134,1.0717672951355297,0.7805957199340134,2.858310436,3.89409158,1.827940027,1.424488806,1.777486989,1.105901406
lake_greenland_melling_1,-49.1375630540464,67.08239379300817,1056.5,1.0687993179769724,1.4857297665265017,,0.788904287811157,0.4143893366248333,,,,0.5419502032155415,3.92273834,1.95709134,1.2236756346417683,0.9139230014066734,2.858310436,3.89409158,1.827940027,1.424488806,1.777486989,1.105901406
lake_greenland_melling_1,-49.137550061572,67.08243834001735,1051.5,1.1924255256048797,1.5997960211567972,,0.8675346986703476,0.3375218250830911,,,,0.6260910551451271,4.291818735,2.208180356,1.3536722962400034,1.031178755617808,3.127429014,4.195130715,2.081072288,1.607426836,1.990855936,1.269240141
lake_greenland_melling_1,-49.13753707184461,67.0824828870133,1046.5,1.3091446297319458,1.7464117880775283,,0.946223270708606,0.2639358551062062,,,,0.7055625,4.291818735,2.208180356,1.4735180736650162,1.144771186395661,3.127429014,4.195130715,2.081072288,1.607426836,1.990855936,1.269240141
lake_greenland_melling_1,-49.137524113254,67.08252743547028,1041.5,1.413809433023014,1.9108928761589636,,1.0249595698509375,0.1973548427663805,,,,0.8068669164255098,4.756039673,2.449165688,1.5756467710026312,1.2519720945330364,3.465978034,4.576104703,2.397241612,1.783073521,2.196802189,1.424987444
lake_greenland_melling_1,-49.13751117800125,67.08257198502233,1036.5,1.517828979725062,2.099401340586724,,1.1037210706656295,0.1405266465396843,,,,0.8618125,4.756039673,2.449165688,1.6793628813762995,1.356295077073825,3.465978034,4.576104703,2.397241612,1.783073521,2.196802189,1.424987444
lake_greenland_melling_1,-49.1374982427485,67.08261653457437,1031.5,1.6213348651879929,2.2534496812838,,1.1824746075499784,0.0948156525623191,,,,0.88525,5.223329394,2.576140812,1.784335654439815,1.4583340749361704,3.806834572,4.962022707,2.713218748,1.875654325,2.305711516,1.506721662
lake_greenland_melling_1,-49.13748534940551,67.08266108595733,1026.5,1.723560297404747,2.424469975999517,,1.261199623156581,0.060604566024736,,,,0.9868125,5.223329394,2.576140812,1.881701840205684,1.5654187540197724,3.806834572,4.962022707,2.713218748,1.875654325,2.305711516,1.506721662
lake_greenland_melling_1,-49.13747246394569,67.08270563769524,1021.5,1.8253614166273755,2.576902492354465,,1.3399162830179037,0.036577125626448,,,,1.1190153357485315,5.39048876,2.692555989,1.9765502485886013,1.6741725846357254,3.928784039,5.100625157,2.825735884,1.960558143,2.405779997,1.5814883
lake_greenland_melling_1,-49.13745957824034,67.08275018950161,1016.5,1.9305736476049136,2.6966807932406183,,1.418556587109002,0.0206801136913633,,,,1.3149375,5.39048876,2.692555989,2.0708338706630736,1.7903134240235632,3.928784039,5.100625157,2.825735884,1.960558143,2.405779997,1.5814883
